Year,Season,CDD,Rx5Day,Sea Level,T10,T90,WP90
1961,1,0.65,-0.53,-0.26,-1.25,0.16,-1.15
1961,2,0.68,-0.25,0.15,0.25,-0.87,0.58
1961,3,0.71,-0.64,-0.49,-0.85,0.49,-0.55
1961,4,0.75,0.06,-1.19,0.75,-0.05,2.16
1962,1,0.71,0.99,-1.03,1.09,-0.22,0.26
1962,2,0.52,-1.26,-0.72,0.39,-0.34,-1.35
1962,3,0.33,-0.12,-0.94,0.12,-1.36,-1.15
1962,4,0.14,-0.44,-0.37,-1.03,0.62,-1.2
1963,1,0.09,-0.75,-1.2,0.71,1.16,0.54
1963,2,0.31,-0.55,-1.26,-0.51,0.05,-0.11
1963,3,0.54,-1.26,-1.43,-0.41,-0.17,-0.19
1963,4,0.76,-1.38,0.08,-1.67,3.52,-1.9
1964,1,0.89,-1.78,-1.15,-0.31,-0.37,-0.37
1964,2,0.83,0.34,-2.17,1.66,-0.82,0.63
1964,3,0.78,-0.54,-1.57,0.88,-0.37,0.48
1964,4,0.72,-0.54,-1.77,0.02,-0.57,-0.75
1965,1,0.56,1.42,-0.7,0.91,-0.45,1.19
1965,2,0.21,-1.08,-1.74,1.62,-0.28,-1.01
1965,3,-0.15,-0.51,-1.54,1.47,-1.66,-0.57
1965,4,-0.5,-0.3,-0.06,0.45,-0.67,-0.16
1966,1,-0.69,0.42,0.19,0.21,-0.61,-2.8
1966,2,-0.53,-1.15,-0.58,1.1,-0.27,0.01
1966,3,-0.37,-1.3,-0.94,0.09,-0.48,-1.54
1966,4,-0.22,-1.47,-1.44,-0.19,-0.37,0.34
1967,1,0.01,-0.37,0,-0.64,-0.41,-0.17
1967,2,0.37,-1.15,-0.39,2.23,-0.47,0.82
1967,3,0.74,0.3,0.03,0.38,-0.57,-1.2
1967,4,1.1,-0.67,-0.15,-0.56,0.31,0.4
1968,1,1.17,0.59,0.3,-0.02,0.23,0.16
1968,2,0.64,-0.15,-0.79,-0.55,0.1,0.69
1968,3,0.11,1.03,-0.16,1.68,-0.82,1.65
1968,4,-0.42,-0.7,0.3,-1.01,-0.73,-0.22
1969,1,-0.64,1.28,0.36,0.65,-1.49,1.02
1969,2,-0.24,-1.01,0.01,0.15,-0.41,-1.82
1969,3,0.15,0.78,0.66,1.59,0.38,0.44
1969,4,0.55,-0.42,0.94,0.03,0.11,-0.84
1970,1,0.84,-0.55,0.56,-0.93,-0.07,-1.65
1970,2,0.92,0.03,-0.27,-0.12,-1,-1.02
1970,3,1,-0.17,0.06,-0.68,0.73,-0.68
1970,4,1.08,0.31,0.04,0.96,-0.17,0.35
1971,1,1.1,-0.31,0.1,0.46,-0.6,0.18
1971,2,1,-1.67,0.33,0.5,-1.58,0.77
1971,3,0.89,0.03,-0.34,0.39,-0.24,-1.98
1971,4,0.79,0.4,0.63,-0.07,0.05,-0.75
1972,1,0.78,0.02,-0.38,1.01,-0.73,1.21
1972,2,0.94,-1.25,1.22,0.98,-0.18,-1.48
1972,3,1.1,1.09,2.41,1.44,-0.57,-0.5
1972,4,1.26,0.47,1.72,1.3,-2.36,-0.21
1973,1,1.22,0.48,1.67,0.92,-0.32,-0.4
1973,2,0.78,1.43,1.49,-0.7,-0.32,0.92
1973,3,0.33,0.31,0.7,-0.16,-0.3,1.2
1973,4,-0.12,1.29,-0.01,-0.08,-0.14,0.8
1974,1,-0.18,0.5,0.56,-0.54,-0.44,0.21
1974,2,0.51,0.08,1.11,0.14,-0.5,1.68
1974,3,1.21,-0.36,1.51,0.67,-0.67,2.14
1974,4,1.9,0.18,-0.79,0.72,-0.69,-0.5
1975,1,2.05,-0.14,0.37,-0.68,-0.89,-0.55
1975,2,1.1,0.91,0.16,1.42,-1.69,1.5
1975,3,0.15,1.22,0.44,0.17,-0.39,1.42
1975,4,-0.8,-0.57,0.38,0.25,-0.09,-0.09
1976,1,-1.33,-0.85,-0.36,-0.64,0.65,-0.11
1976,2,-1.02,0.19,0.39,-0.28,-0.33,0.03
1976,3,-0.71,-1.25,1.29,1.5,-0.6,0.84
1976,4,-0.4,-2,-0.59,1.58,-0.59,-0.6
1977,1,-0.19,-2.68,-1.12,-0.18,-0.03,-0.96
1977,2,-0.18,0.53,-0.76,-1.29,1.84,0.3
1977,3,-0.18,-0.52,-0.51,-0.86,0.66,-1.34
1977,4,-0.17,0.34,1.01,-0.85,-0.14,-0.78
1978,1,-0.13,-0.45,1.35,0.45,-0.87,-0.07
1978,2,0,-0.52,0.4,-0.69,-0.39,-1.78
1978,3,0.12,-0.79,-0.73,-0.25,-0.16,-0.54
1978,4,0.24,-0.45,-0.13,-0.17,0.03,-0.96
1979,1,0.27,1.17,-0.4,2.72,-2.07,-0.35
1979,2,0.13,1.72,-0.16,-0.23,-0.37,-0.67
1979,3,-0.01,0.85,-0.54,0.24,-0.5,-0.49
1979,4,-0.16,0.41,-0.12,-1.23,1.98,-0.84
1980,1,-0.18,0.24,0.52,-0.97,0.61,1.02
1980,2,0.03,0.46,0.12,-1.04,0.35,0.06
1980,3,0.24,-1.89,-0.93,-1.09,1.06,0.89
1980,4,0.45,-0.44,-1.14,-0.6,0.44,0.03
1981,1,0.62,-1.37,-0.45,-0.58,3.27,0.71
1981,2,0.72,0.02,-0.04,-1.62,1.23,-1.11
1981,3,0.83,2.38,0.05,-0.83,0.27,0.08
1981,4,0.93,0.95,0.63,-0.87,0.27,1.02
1982,1,0.67,1.53,-0.42,0.55,-0.99,1.08
1982,2,-0.31,0.72,-0.35,0.83,-1.26,0.86
1982,3,-1.29,0.76,-0.03,0.48,-1.4,-0.52
1982,4,-2.27,0.78,0.95,0.28,-0.62,-0.48
1983,1,-2.86,1.94,3.06,-2.13,0.73,-0.68
1983,2,-2.67,2.5,2.58,0.69,-0.34,0.19
1983,3,-2.49,-0.77,2.18,-1.4,1.54,-0.73
1983,4,-2.3,1.24,2.64,-0.98,0.53,0.42
1984,1,-2.08,-0.27,0.37,0.79,0.48,-0.62
1984,2,-1.81,0.69,1.44,0.1,-0.13,-0.02
1984,3,-1.54,0.3,1.17,-1.33,-0.06,0.35
1984,4,-1.26,0.25,1.7,1.14,-0.53,1.29
1985,1,-1.17,0.44,-0.45,0.46,-0.03,0.03
1985,2,-1.44,-0.08,-0.47,-1.04,0.3,0.2
1985,3,-1.71,-0.62,-0.05,1.4,-0.73,0.19
1985,4,-1.98,2.33,-0.09,2.83,-1.11,1.95
1986,1,-1.97,0.32,0.3,-0.23,1.47,0.51
1986,2,-1.4,0.05,0.71,-0.64,1.37,0.13
1986,3,-0.83,0.37,0.38,-0.27,-0.47,0.62
1986,4,-0.26,2.37,-0.06,1.02,-0.35,-1.22
1987,1,0.22,-0.74,1.31,-1.84,1.13,-1.44
1987,2,0.52,0.26,1.08,-1.43,2.28,-1.32
1987,3,0.82,0.82,0.18,-0.45,1.08,0.83
1987,4,1.12,-1.27,-0.82,-1.2,0.55,-0.74
1988,1,1.22,-0.14,0.04,-1.08,-0.15,0.7
1988,2,0.94,-1.32,-0.02,-1.1,1.28,1.25
1988,3,0.65,-1.67,-0.8,-1.57,3.13,0.72
1988,4,0.37,-0.06,-0.81,-0.67,-0.63,0.95
1989,1,0.1,-0.55,-1.95,0.27,0.08,2.13
1989,2,-0.14,0.06,-0.94,0.2,0.92,-0.31
1989,3,-0.37,1.13,-0.36,-1.19,0.63,-0.61
1989,4,-0.61,-0.18,-1.38,0.52,0.6,0.81
1990,1,-0.85,0.13,-1.17,0.81,0.81,0.36
1990,2,-1.09,1.44,-0.57,-0.98,1.82,1.4
1990,3,-1.33,1.06,0.29,-1.18,1.51,0.77
1990,4,-1.58,-0.49,-0.1,-0.65,0.8,1.71
1991,1,-1.66,0.38,-0.12,-0.42,0.77,1.35
1991,2,-1.42,2.79,0.91,-1.65,1.19,0.71
1991,3,-1.19,0.55,0.16,-1.57,0.49,0.57
1991,4,-0.95,0.9,0.14,1.17,0.28,1.22
1992,1,-0.89,1.78,1.8,-1.87,1.03,-0.34
1992,2,-1.18,-0.72,0.74,0.26,1.28,-1.78
1992,3,-1.47,2.33,0.6,3.41,-1.24,-0.1
1992,4,-1.76,0.21,0.68,1.14,-1.14,1.36
1993,1,-1.88,1.75,1.22,0.19,-0.79,1.47
1993,2,-1.68,0.17,1.78,-0.95,0.6,-0.62
1993,3,-1.48,2.09,0.86,0.81,-0.27,0.87
1993,4,-1.28,-0.24,-1.03,0.5,-1.38,1.35
1994,1,-1.15,0.04,0.07,0.23,-0.59,-0.44
1994,2,-1.19,0.18,0.19,-1.28,0.99,-0.6
1994,3,-1.22,-0.6,-0.08,-1.71,0.7,0.59
1994,4,-1.26,0.67,-0.01,-1.31,-0.41,1.44
1995,1,-1.18,0.39,0.8,-1.64,1.06,-1.04
1995,2,-0.89,1.53,0.37,-0.18,0.49,-0.54
1995,3,-0.59,2.21,0.5,-0.98,1.32,0.77
1995,4,-0.3,-0.32,1.06,-0.28,0.45,0.72
1996,1,-0.07,1.12,1.11,0.62,0.92,2.13
1996,2,0.03,0.52,0.39,0.69,-0.06,1.7
1996,3,0.13,0.93,0.74,-1.21,0.01,0.35
1996,4,0.23,1.96,1.97,1.57,-2.15,1.34
1997,1,0.12,1.87,1.45,-0.65,0.18,1.97
1997,2,-0.41,0.56,1.55,0.45,-0.58,-0.91
1997,3,-0.93,0.91,2.62,-1.1,-0.03,-0.42
1997,4,-1.46,0.2,3.42,-0.61,0.59,0.36
1998,1,-1.68,1.82,4.03,-2.25,1.36,-0.73
1998,2,-1.27,1.34,2.16,-1.41,1.97,-0.84
1998,3,-0.87,1.41,0.81,-2,1.85,0.39
1998,4,-0.47,1.2,0.35,-2.26,2.23,0.39
1999,1,-0.08,0.76,0.48,-1.35,1.47,1.42
1999,2,0.28,0.13,0.43,-1.18,0.01,0.97
1999,3,0.65,1.19,0.31,-0.67,1.22,0.76
1999,4,1.01,-0.8,0.07,-1.4,1.2,0.22
2000,1,1.28,-0.63,-0.46,-2.13,1.76,1.33
2000,2,1.38,-0.06,0.62,-1.71,1.16,0.1
2000,3,1.49,-0.83,0.64,-0.56,-0.05,1.62
2000,4,1.59,-0.04,-0.36,0.69,0.08,0.92
2001,1,1.53,-0.89,-1.25,-0.56,-0.72,-0.16
2001,2,1.16,-0.26,-0.38,-0.95,0.39,1.09
2001,3,0.79,0.13,-0.66,-1.97,1.13,0.2
2001,4,0.42,-0.1,0.18,-1.66,1.37,0.72
2002,1,0.37,-0.5,0.08,-1.89,1.36,-1.1
2002,2,0.94,-0.5,-1.27,2.19,-0.34,1.5
2002,3,1.52,-0.52,0.56,-1.5,1.95,1.18
2002,4,2.09,0.58,0.39,-0.16,1.53,0.25
2003,1,2.31,-0.01,0.08,-1.21,0.91,0.82
2003,2,1.83,0.75,0.47,-0.08,0.62,0.27
2003,3,1.34,-0.5,0.41,-2.14,1.72,0.08
2003,4,0.85,0.95,1.36,-0.39,2.29,0.79
2004,1,0.45,0.35,1.18,-1.38,-0.61,0.88
2004,2,0.2,0.46,-0.02,-1.26,1.51,0.06
2004,3,-0.05,2.2,0.53,1.28,0.72,-1.37
2004,4,-0.29,2.36,1.44,-1.25,0.09,1.39
2005,1,-0.46,1.99,0.95,-1.45,1.32,-0.2
2005,2,-0.47,0.3,2.17,-1.19,1.2,0.71
2005,3,-0.47,2.56,1.49,-2.57,1.61,-0.6
2005,4,-0.48,0.76,1.19,-1.89,1.87,1.27
2006,1,-0.32,0.45,0.91,-1.1,2.67,0.34
2006,2,0.16,0.39,1.38,-1.68,1.43,-0.08
2006,3,0.64,-0.41,0.72,-3.33,2.19,-0.52
2006,4,1.11,0.7,1.8,-0.03,0.13,0.96
2007,1,1.39,0.85,-0.04,-0.84,1.06,1.12
2007,2,1.25,1.37,-0.11,-0.41,1.41,0.83
2007,3,1.11,0.89,1.19,-2.54,2.2,-1.29
2007,4,0.97,-0.81,-0.15,-1.93,1.36,0.6
2008,1,0.82,0.95,0.06,-0.86,-0.71,-0.35
2008,2,0.62,0.26,0.44,-0.13,-0.99,0.19
2008,3,0.43,2.72,2.09,-1.34,-0.32,1.36
2008,4,0.24,-0.21,1.22,-0.88,0,0.45
2009,1,0.08,0.48,-0.86,-0.43,-0.25,-0.06
2009,2,0.02,1.48,0.12,-0.09,-0.28,-0.01
2009,3,-0.05,0.43,2.31,0.42,0.37,-0.59
2009,4,-0.12,1.08,3.48,-0.7,1.37,0.64
2010,1,-0.13,1.11,2.64,-0.9,-0.52,-0.76
2010,2,-0.01,0.82,1.61,-1.59,1.97,1.09
2010,3,0.11,2.48,0.69,-2.9,1.88,0.47
2010,4,0.22,1.46,1.88,-1.54,1.72,1.5
2011,1,0.3,0.74,0.74,-0.56,-0.36,0.74
2011,2,0.28,2.14,1.94,-0.55,-0.08,0.28
2011,3,0.27,-0.38,2.87,-3.23,2.45,0.28
2011,4,0.26,-0.06,1.86,-1.34,1.62,1.28
2012,1,0.29,0.1,0.08,-1.96,1.46,0.24
2012,2,0.43,0.7,1.6,-1.98,3.44,0.04
2012,3,0.56,-1.67,2.45,-2.94,2.69,-0.17
2012,4,0.7,-0.56,1.2,-0.66,0.63,0.83
2013,1,0.59,1.15,0.63,-1.55,0.01,-1.53
2013,2,-0.01,0.61,0.43,1.66,-0.1,-0.02
2013,3,-0.6,2.32,1.71,-1.74,2.26,-1.12
2013,4,-1.2,1.35,1.11,-1.03,1.22,0.24
2014,1,-1.57,-0.28,-0.27,0.88,-0.2,-0.51
2014,2,-1.47,1.24,1.72,0.16,-0.15,-0.93
2014,3,-1.38,3.52,2.39,-1.39,0.39,-0.07
2014,4,-1.29,0.78,3.42,-0.1,1.44,0.5
2015,1,-1.36,0.22,1.61,-0.74,1.93,-1.16
2015,2,-1.75,0.92,0.19,-1.27,2.27,-1.98
2015,3,-2.13,1.86,2.32,-2.36,2.05,-0.23
2015,4,-2.51,2.66,3.67,-2.05,3.59,0.79
2016,1,-2.54,2.86,3.29,-2.37,2.9,-1.05
2016,2,-1.84,2.62,2.4,-1.93,3.08,-1.33
2016,3,-1.14,1.83,1.61,-3.71,2.98,0.55
2016,4,-0.45,0.54,3.68,-2.58,4.24,0
2017,1,0.01,2.88,1.47,-1.06,1.91,0.87
2017,2,0,2.52,2.56,-0.78,1.07,0.45
2017,3,-0.02,1.38,3.57,-2.66,1.12,0.01
2017,4,-0.04,1.49,3.08,-1.03,2.98,0.89
2018,1,0.07,0.54,0.03,-0.38,1.36,0.01
2018,2,0.43,0.6,1.94,-0.59,0.92,-0.45
2018,3,0.79,1.38,2.24,-3.24,2.63,0.33
2018,4,1.15,2.72,3.14,0.16,1.8,-1.39
2019,1,1.17,3.13,2.39,-0.31,0.28,-0.31
2019,2,0.48,1.62,2.46,-0.3,0.81,-1.17
2019,3,-0.2,0.29,3.26,-2.99,1.6,-0.71
2019,4,-0.88,1.49,4.05,0.1,2,0.52
2020,1,-1.16,2.04,2.21,-1.92,0.54,-2.12
2020,2,-0.64,1.24,2.46,-0.14,0.74,-0.07
2020,3,-0.13,1.31,3.26,-3.42,2.5,0.52
